Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,family_size,cabin_multiple,name_title,norm_fare,is_alone,title_grouped,age_missing,age_group,fare_per_person,fare_group,cabin_known,cabin_deck,ticket_prefix,ticket_has_letters,sex_pclass,age_class
1,3,male,,0,0,S,1,0,Mr,4.05171190165724,1,Mr,1,adult,4.05171190165724,very_high,0,Unknown,NONE,0,male_3,85.5
0,2,male,,0,0,S,1,0,Mr,0.0,1,Mr,1,adult,0.0,low,0,Unknown,NONE,0,male_2,57.0
0,1,male,,0,0,S,1,1,Mr,5.406181146423973,1,Mr,1,adult,5.406181146423973,very_high,1,C,PC,1,male_1,28.5
1,3,female,18.0,0,1,S,2,0,Mrs,2.336986519711378,0,Mrs,0,teen,1.168493259855689,medium,0,Unknown,NONE,0,female_3,54.0
1,2,female,31.0,1,1,S,3,0,Mrs,3.305053521109253,0,Mrs,0,adult,1.1016845070364176,high,0,Unknown,C.A.,1,female_2,62.0
0,3,male,21.0,0,0,S,1,0,Mr,2.2442459824059346,1,Mr,0,adult,2.2442459824059346,medium,0,Unknown,NONE,0,male_3,63.0
1,3,male,26.0,0,0,S,1,0,Mr,4.05171190165724,1,Mr,0,adult,4.05171190165724,very_high,0,Unknown,NONE,0,male_3,78.0
0,1,male,,0,0,C,1,0,Mr,5.4316456135398825,1,Mr,1,adult,5.4316456135398825,very_high,0,Unknown,PC,1,male_1,28.5
1,3,male,,0,0,Q,1,0,Mr,2.169053700369523,1,Mr,1,adult,2.169053700369523,low,0,Unknown,NONE,0,male_3,85.5
0,3,female,31.0,1,0,S,2,0,Mrs,2.9444389791664403,0,Mrs,0,adult,1.4722194895832201,high,0,Unknown,NONE,0,female_3,93.0
1,1,male,56.0,0,0,C,1,1,Col,3.597312260588446,1,Rare,0,middle_age,3.597312260588446,very_high,1,A,NONE,0,male_1,56.0
0,3,female,21.0,1,0,S,2,0,Miss,2.3818582738885534,0,Miss,0,adult,1.1909291369442767,medium,0,Unknown,NONE,0,female_3,63.0
0,3,male,,8,2,S,11,0,Mr,4.256321678298823,0,Mr,1,adult,0.3869383343908021,very_high,0,Unknown,CA.,1,male_3,85.5
0,1,male,56.0,0,0,S,1,0,Mr,3.3160025355989236,1,Mr,0,middle_age,3.3160025355989236,high,0,Unknown,NONE,0,male_1,56.0
0,3,male,21.0,0,0,S,1,0,Mr,2.174751721484161,1,Mr,0,adult,2.174751721484161,low,0,Unknown,A/4.,1,male_3,63.0
1,1,female,33.0,1,0,Q,2,1,Miss,4.51085950651685,0,Miss,0,adult,2.255429753258425,very_high,1,C,NONE,0,female_1,33.0
0,3,male,21.0,0,0,Q,1,0,Mr,2.167143305297764,1,Mr,0,adult,2.167143305297764,low,0,Unknown,A/5.,1,male_3,63.0
0,3,male,,0,0,S,1,0,Mr,2.1102132003465894,1,Mr,1,adult,2.1102132003465894,low,0,Unknown,NONE,0,male_3,85.5
0,3,male,43.0,0,0,S,1,0,Mr,2.0082140323914683,1,Mr,0,middle_age,2.0082140323914683,low,0,Unknown,C,1,male_3,129.0
0,3,female,,3,1,S,5,0,Miss,3.275887339030031,0,Miss,1,adult,0.6551774678060063,high,0,Unknown,NONE,0,female_3,85.5
0,3,male,30.0,1,0,S,2,0,Mr,2.8390784635086144,0,Mr,0,adult,1.4195392317543072,high,0,Unknown,A/5.,1,male_3,90.0
1,1,female,32.0,0,0,C,1,1,Miss,4.347586575960343,1,Miss,0,adult,4.347586575960343,very_high,1,D,NONE,0,female_1,32.0
1,1,female,,0,0,C,1,0,Mrs,4.384523514872469,1,Mrs,1,adult,4.384523514872469,very_high,0,Unknown,PC,1,female_1,28.5
1,2,male,19.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,adult,2.4423470353692043,medium,0,Unknown,SW/PP,1,male_2,38.0
0,3,male,24.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,72.0
1,2,female,45.0,0,0,S,1,0,Mrs,2.6741486494265287,1,Mrs,0,middle_age,2.6741486494265287,medium,0,Unknown,NONE,0,female_2,90.0
0,3,male,23.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,69.0
0,3,male,42.0,0,1,S,2,0,Mr,2.2411563979973974,0,Mr,0,middle_age,1.1205781989986987,medium,0,Unknown,NONE,0,male_3,126.0
1,1,female,39.0,1,1,C,3,1,Miss,4.432699549165613,0,Miss,0,middle_age,1.4775665163885376,very_high,1,E,PC,1,female_1,39.0
1,3,male,16.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,teen,2.2027647577118348,medium,0,Unknown,SOTON/OQ,1,male_3,48.0
0,3,male,,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,1,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,85.5
0,2,male,66.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,senior,2.4423470353692043,medium,0,Unknown,C.A.,1,male_2,132.0
1,1,male,28.0,0,0,S,1,1,Mr,3.3160025355989236,1,Mr,0,adult,3.3160025355989236,high,1,C,NONE,0,male_1,28.0
0,2,male,51.0,0,0,S,1,0,Rev,2.6045398247325453,1,Rare,0,middle_age,2.6045398247325453,medium,0,Unknown,S.O.P.,1,male_2,102.0
0,2,male,47.0,0,0,S,1,0,Mr,2.772588722239781,1,Mr,0,middle_age,2.772588722239781,high,0,Unknown,NONE,0,male_2,94.0
1,3,male,18.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,teen,2.2027647577118348,medium,0,Unknown,A/5,1,male_3,54.0
0,2,male,36.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,middle_age,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,72.0
1,2,female,30.0,0,0,S,1,0,Miss,2.6390573296152584,1,Miss,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,female_2,60.0
1,2,female,22.0,1,1,S,3,0,Mrs,3.4011973816621555,0,Mrs,0,adult,1.1337324605540517,high,0,Unknown,NONE,0,female_2,44.0
0,3,female,,0,0,Q,1,0,Miss,2.169053700369523,1,Miss,1,adult,2.169053700369523,low,0,Unknown,NONE,0,female_3,85.5
0,2,male,25.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,C.A.,1,male_2,50.0
0,3,male,,0,0,C,1,0,Mr,2.1076888046179385,1,Mr,1,adult,2.1076888046179385,low,0,Unknown,NONE,0,male_3,85.5
1,2,female,32.0,0,0,S,1,0,Mrs,2.6390573296152584,1,Mrs,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,female_2,64.0
1,3,male,,0,0,S,1,0,Mr,2.1719067693519296,1,Mr,1,adult,2.1719067693519296,low,0,Unknown,NONE,0,male_3,85.5
1,3,female,19.0,1,0,S,2,0,Miss,2.180891922715322,0,Miss,0,adult,1.090445961357661,low,0,Unknown,NONE,0,female_3,57.0
1,1,male,52.0,0,0,S,1,1,Major,3.449987545831587,1,Rare,0,middle_age,3.449987545831587,high,1,C,NONE,0,male_1,52.0
0,1,male,71.0,0,0,C,1,1,Mr,3.57386695198272,1,Mr,0,senior,3.57386695198272,very_high,1,A,PC,1,male_1,71.0
0,3,male,32.0,0,0,S,1,0,Mr,2.188856327665703,1,Mr,0,adult,2.188856327665703,medium,0,Unknown,STON/O,1,male_3,96.0
0,3,male,19.0,0,0,S,1,2,Mr,2.157559320943788,1,Mr,0,adult,2.157559320943788,low,1,F,NONE,0,male_3,57.0
0,3,male,,1,0,Q,2,0,Mr,2.803360380906535,0,Mr,1,adult,1.4016801904532674,high,0,Unknown,NONE,0,male_3,85.5
0,3,female,22.0,0,0,S,1,0,Miss,2.3830123421066602,1,Miss,0,adult,2.3830123421066602,medium,0,Unknown,NONE,0,female_3,66.0
0,1,male,50.0,1,0,S,2,1,Mr,4.041295341132285,0,Mr,0,middle_age,2.0206476705661425,very_high,1,E,NONE,0,male_1,50.0
0,3,male,4.0,3,2,S,6,0,Master,3.3638415951183864,0,Master,0,child,0.5606402658530644,high,0,Unknown,NONE,0,male_3,12.0
1,1,female,36.0,1,2,S,4,2,Mrs,4.795790545596741,0,Mrs,0,middle_age,1.1989476363991853,very_high,1,B,NONE,0,female_1,36.0
0,1,male,19.0,1,0,S,2,1,Mr,3.9908341858524357,0,Mr,0,adult,1.9954170929262178,very_high,1,D,NONE,0,male_1,19.0
1,1,female,30.0,0,0,C,1,0,Miss,3.4657359027997265,1,Miss,0,adult,3.4657359027997265,high,0,Unknown,NONE,0,female_1,30.0
1,3,male,,0,0,S,1,0,Mr,4.05171190165724,1,Mr,1,adult,4.05171190165724,very_high,0,Unknown,NONE,0,male_3,85.5
0,3,male,30.0,0,0,S,1,0,Mr,2.1102132003465894,1,Mr,0,adult,2.1102132003465894,low,0,Unknown,C,1,male_3,90.0
0,3,male,21.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,adult,2.2027647577118348,medium,0,Unknown,A/4,1,male_3,63.0
0,2,male,30.0,1,0,C,2,0,Mr,3.2188758248682006,0,Mr,0,adult,1.6094379124341003,high,0,Unknown,P/PP,1,male_2,60.0
1,2,female,18.0,0,1,S,2,0,Miss,3.1780538303479458,0,Miss,0,teen,1.5890269151739729,high,0,Unknown,NONE,0,female_2,36.0
0,3,male,19.0,0,0,S,1,0,Mr,0.0,1,Mr,0,adult,0.0,low,0,Unknown,NONE,1,male_3,57.0
1,1,female,38.0,0,0,C,1,1,Miss,5.4316456135398825,1,Miss,0,middle_age,5.4316456135398825,very_high,1,C,PC,1,female_1,38.0
0,3,male,10.0,3,2,S,6,0,Master,3.3638415951183864,0,Master,0,child,0.5606402658530644,high,0,Unknown,NONE,0,male_3,30.0
0,2,male,,0,0,S,1,0,Mr,0.0,1,Mr,1,adult,0.0,low,0,Unknown,NONE,0,male_2,57.0
0,3,female,29.0,1,1,S,3,1,Mrs,2.4390808375825834,0,Mrs,0,adult,0.8130269458608611,medium,1,G,NONE,0,female_3,87.0
0,3,male,,0,0,S,1,0,Mr,2.1177604059819726,1,Mr,1,adult,2.1177604059819726,low,0,Unknown,Fa,1,male_3,85.5
0,3,male,28.0,1,0,S,2,0,Mr,2.8243506567983707,0,Mr,0,adult,1.4121753283991854,high,0,Unknown,STON/O2.,1,male_3,84.0
0,3,female,39.0,1,5,S,7,0,Mrs,3.4742929367327062,0,Mrs,0,middle_age,0.4963275623903866,very_high,0,Unknown,NONE,0,female_3,117.0
0,3,female,2.0,0,1,S,2,1,Miss,2.4390808375825834,0,Miss,0,child,1.2195404187912917,medium,1,G,NONE,0,female_3,6.0
0,2,male,30.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,adult,2.4423470353692043,medium,0,Unknown,W/C,1,male_2,60.0
0,3,male,25.0,0,0,C,1,0,Mr,2.1071782966514356,1,Mr,0,adult,2.1071782966514356,low,0,Unknown,NONE,0,male_3,75.0
0,3,male,14.0,4,1,S,6,0,Mr,3.705920919968788,0,Mr,0,teen,0.6176534866614647,very_high,0,Unknown,NONE,0,male_3,42.0
1,1,female,35.0,1,0,S,2,0,Mrs,3.970291913552122,0,Mrs,0,adult,1.985145956776061,very_high,0,Unknown,NONE,0,female_1,35.0
1,1,male,17.0,0,2,C,3,1,Mr,4.717456363787216,0,Mr,0,teen,1.5724854545957385,very_high,1,C,NONE,0,male_1,17.0
0,3,male,,0,0,Q,1,0,Mr,2.1661924680884908,1,Mr,1,adult,2.1661924680884908,low,0,Unknown,NONE,0,male_3,85.5
0,3,female,18.0,0,0,Q,1,0,Miss,2.0476928433652555,1,Miss,0,teen,2.0476928433652555,low,0,Unknown,NONE,0,female_3,54.0
1,3,female,23.0,0,0,S,1,0,Miss,2.145931282948669,1,Miss,0,adult,2.145931282948669,low,0,Unknown,CA.,1,female_3,69.0
0,3,male,50.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,middle_age,2.2027647577118348,medium,0,Unknown,A/5,1,male_3,150.0
1,1,female,21.0,2,2,C,5,4,Miss,5.5735788721243535,0,Miss,0,adult,1.1147157744248708,very_high,1,B,PC,1,female_1,21.0
1,1,female,58.0,0,0,C,1,1,Miss,4.993969182787072,1,Miss,0,middle_age,4.993969182787072,very_high,1,B,PC,1,female_1,58.0
1,2,female,3.0,1,2,C,4,0,Miss,3.7513658711253766,0,Miss,0,child,0.9378414677813441,very_high,0,Unknown,SC/Paris,1,female_2,6.0
1,2,female,13.0,0,1,S,2,0,Miss,3.0204248861443626,0,Miss,0,teen,1.5102124430721813,high,0,Unknown,NONE,0,female_2,26.0
0,2,male,57.0,0,0,Q,1,0,Rev,2.5915163848462583,1,Rare,0,middle_age,2.5915163848462583,medium,0,Unknown,NONE,0,male_2,114.0
0,2,male,16.0,0,0,S,1,0,Mr,3.295836866004329,1,Mr,0,teen,3.295836866004329,high,0,Unknown,NONE,0,male_2,32.0
1,3,female,,0,0,Q,1,0,Miss,2.169053700369523,1,Miss,1,adult,2.169053700369523,low,0,Unknown,NONE,0,female_3,85.5
0,2,male,60.0,1,1,S,3,0,Mr,3.6888794541139363,0,Mr,0,middle_age,1.2296264847046454,very_high,0,Unknown,NONE,0,male_2,120.0
0,1,male,22.0,0,0,C,1,0,Mr,4.91730069488021,1,Mr,0,adult,4.91730069488021,very_high,0,Unknown,PC,1,male_1,22.0
0,2,male,30.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,60.0
0,3,male,17.0,0,0,S,1,0,Mr,2.2682524139135403,1,Mr,0,teen,2.2682524139135403,medium,0,Unknown,NONE,0,male_3,51.0
0,3,male,25.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,75.0
1,3,male,27.0,0,0,S,1,0,Mr,2.2682524139135403,1,Mr,0,adult,2.2682524139135403,medium,0,Unknown,NONE,0,male_3,81.0
0,3,male,36.0,0,0,S,1,0,Mr,0.0,1,Mr,0,middle_age,0.0,low,0,Unknown,NONE,1,male_3,108.0
0,3,female,,0,0,S,1,0,Mrs,2.2027647577118348,1,Mrs,1,adult,2.2027647577118348,medium,0,Unknown,NONE,0,female_3,85.5
1,3,female,,0,0,C,1,0,Mrs,2.1076888046179385,1,Mrs,1,adult,2.1076888046179385,low,0,Unknown,NONE,0,female_3,85.5
0,3,male,29.0,0,0,S,1,0,Mr,2.3497835148230464,1,Mr,0,adult,2.3497835148230464,medium,0,Unknown,NONE,0,male_3,87.0
1,1,female,30.0,0,0,C,1,0,Miss,4.676792929661059,1,Miss,0,adult,4.676792929661059,very_high,0,Unknown,PC,1,female_1,30.0
0,3,male,,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,1,adult,2.2027647577118348,medium,0,Unknown,NONE,0,male_3,85.5
0,1,male,51.0,0,1,C,2,0,Mr,4.133231886474144,0,Mr,0,middle_age,2.066615943237072,very_high,0,Unknown,PC,1,male_1,51.0
1,3,female,16.0,0,0,Q,1,0,Miss,2.167143305297764,1,Miss,0,teen,2.167143305297764,low,0,Unknown,NONE,0,female_3,48.0
1,3,female,,0,0,Q,1,0,Miss,2.169053700369523,1,Miss,1,adult,2.169053700369523,low,0,Unknown,NONE,0,female_3,85.5
1,3,female,1.0,0,2,C,3,0,Miss,2.817902613071225,0,Miss,0,child,0.9393008710237417,high,0,Unknown,NONE,0,female_3,3.0
0,3,male,22.0,0,0,S,1,0,Mr,2.174274334826008,1,Mr,0,adult,2.174274334826008,low,0,Unknown,NONE,0,male_3,66.0
1,3,female,,1,1,C,3,2,Miss,3.1509523813392697,0,Miss,1,adult,1.0503174604464232,high,1,F,NONE,0,female_3,85.5
0,3,male,7.0,4,1,Q,6,0,Master,3.405355391810819,0,Master,0,child,0.5675592319684698,high,0,Unknown,NONE,0,male_3,21.0
1,1,male,,0,0,S,1,1,Mr,3.449987545831587,1,Mr,1,adult,3.449987545831587,high,1,C,NONE,0,male_1,28.5
0,3,male,,1,0,Q,2,0,Mr,2.169053700369523,0,Mr,1,adult,1.0845268501847616,low,0,Unknown,NONE,0,male_3,85.5
1,1,female,33.0,1,0,S,2,1,Mrs,3.9908341858524357,0,Mrs,0,adult,1.9954170929262178,very_high,1,E,NONE,0,female_1,33.0
0,3,male,7.0,4,1,S,6,0,Master,3.705920919968788,0,Master,0,child,0.6176534866614647,very_high,0,Unknown,NONE,0,male_3,21.0
0,3,male,32.0,0,0,Q,1,0,Mr,2.169053700369523,1,Mr,0,adult,2.169053700369523,low,0,Unknown,NONE,0,male_3,96.0
0,2,male,50.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,middle_age,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,100.0
0,2,male,59.0,0,0,S,1,0,Mr,2.6741486494265287,1,Mr,0,middle_age,2.6741486494265287,medium,0,Unknown,NONE,0,male_2,118.0
0,1,male,28.0,1,0,C,2,0,Mr,4.420896324687287,0,Mr,0,adult,2.2104481623436434,very_high,0,Unknown,PC,1,male_1,28.0
0,3,male,,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,1,adult,2.2027647577118348,medium,0,Unknown,S.C./A.4.,1,male_3,85.5
0,1,male,60.0,0,0,S,1,0,Col,3.3160025355989236,1,Rare,0,middle_age,3.3160025355989236,high,0,Unknown,NONE,0,male_1,60.0
0,3,female,17.0,0,0,C,1,0,Miss,2.738146075922933,1,Miss,0,teen,2.738146075922933,high,0,Unknown,NONE,0,female_3,51.0
0,2,male,32.5,1,0,C,2,0,Mr,3.436268471383741,0,Mr,0,adult,1.7181342356918705,high,0,Unknown,NONE,0,male_2,65.0
1,1,female,21.0,0,0,S,1,1,Miss,4.368919865004903,1,Miss,0,adult,4.368919865004903,very_high,1,D,NONE,0,female_1,21.0
1,3,male,3.0,4,2,S,7,0,Master,3.4777725458882283,0,Master,0,child,0.496824649412604,very_high,0,Unknown,NONE,0,male_3,9.0
0,2,male,19.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,adult,2.4423470353692043,medium,0,Unknown,NONE,0,male_2,38.0
1,2,female,24.0,2,3,S,6,0,Mrs,2.9831534913471307,0,Mrs,0,adult,0.4971922485578551,high,0,Unknown,NONE,0,female_2,48.0
1,1,female,18.0,0,2,S,3,1,Miss,4.390118804571218,0,Miss,0,teen,1.4633729348570725,very_high,1,E,NONE,0,female_1,18.0
1,1,female,49.0,0,0,S,1,1,Dr,3.2932111997353943,1,Rare,0,middle_age,3.2932111997353943,high,1,D,NONE,0,female_1,49.0
0,3,female,41.0,0,2,S,3,0,Mrs,3.0545906305603445,0,Mrs,0,middle_age,1.0181968768534482,high,0,Unknown,NONE,0,female_3,123.0
1,3,male,30.0,0,0,S,1,0,Mr,2.3513752571634776,1,Mr,0,adult,2.3513752571634776,medium,0,Unknown,NONE,0,male_3,90.0
0,3,male,59.0,0,0,S,1,0,Mr,2.1102132003465894,1,Mr,0,middle_age,2.1102132003465894,low,0,Unknown,NONE,0,male_3,177.0
1,3,female,4.0,0,1,C,2,0,Miss,2.668387256845834,0,Miss,0,child,1.334193628422917,medium,0,Unknown,NONE,0,female_3,12.0
0,3,female,,0,2,C,3,0,Mrs,2.7878344138303452,0,Mrs,1,adult,0.9292781379434484,high,0,Unknown,NONE,0,female_3,85.5
0,3,male,51.0,0,0,S,1,0,Mr,2.169053700369523,1,Mr,0,middle_age,2.169053700369523,low,0,Unknown,NONE,0,male_3,153.0
1,2,female,45.0,1,1,S,3,0,Mrs,3.305053521109253,0,Mrs,0,middle_age,1.1016845070364176,high,0,Unknown,F.C.C.,1,female_2,90.0
0,3,male,18.0,1,1,S,3,0,Mr,3.0545906305603445,0,Mr,0,teen,1.0181968768534482,high,0,Unknown,NONE,0,male_3,54.0
0,3,female,,8,2,S,11,0,Miss,4.256321678298823,0,Miss,1,adult,0.3869383343908021,very_high,0,Unknown,CA.,1,female_3,85.5
1,3,female,,1,0,Q,2,0,Miss,2.803360380906535,0,Miss,1,adult,1.4016801904532674,high,0,Unknown,NONE,0,female_3,85.5
0,2,male,28.0,0,1,S,2,0,Rev,3.5263605246161616,0,Rare,0,adult,1.7631802623080808,very_high,0,Unknown,NONE,0,male_2,56.0
0,3,male,55.5,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,middle_age,2.2027647577118348,medium,0,Unknown,A.5.,1,male_3,166.5
0,1,male,24.0,0,1,C,2,2,Mr,5.515526544247129,0,Mr,0,adult,2.7577632721235643,very_high,1,B,PC,1,male_1,24.0
0,1,male,,0,0,S,1,0,Mr,0.0,1,Mr,1,adult,0.0,low,0,Unknown,NONE,0,male_1,28.5
1,3,female,,1,0,S,2,0,Mrs,2.8390784635086144,0,Mrs,1,adult,1.4195392317543072,high,0,Unknown,NONE,0,female_3,85.5
0,3,male,,1,2,S,4,0,Mr,3.196630215920881,0,Mr,1,adult,0.7991575539802203,high,0,Unknown,W./C.,1,male_3,85.5
0,3,male,,8,2,S,11,0,Master,4.256321678298823,0,Master,1,adult,0.3869383343908021,very_high,0,Unknown,CA.,1,male_3,85.5
